Day-Month,Hour,Average Day-ahead Price (EUR/MWh)
05-14,20,145.81666666666666
05-14,21,159.5533333333333
05-14,22,156.65333333333334
05-14,23,149.12333333333333
05-14,24,143.91
05-15,1,147.31666666666666
05-15,2,129.13333333333333
05-15,3,122.96999999999998
05-15,4,117.8
05-15,5,119.09666666666665
05-15,6,123.75666666666666
05-15,7,116.87333333333333
05-15,8,127.15333333333335
05-15,9,123.50666666666666
05-15,10,92.60666666666667
05-15,11,68.28666666666668
05-15,12,63.32
05-15,13,54.67666666666667
05-15,14,44.75
05-15,15,35.916666666666664
05-15,16,43.526666666666664
05-15,17,58.053333333333335
05-15,18,108.44666666666667
05-15,19,125.57333333333332
05-15,20,148.69
05-15,21,158.32
05-15,22,149.5
05-15,23,142.25666666666666
05-15,24,129.26333333333335
05-16,1,119.04666666666667
05-16,2,109.25333333333333
05-16,3,103.44666666666667
05-16,4,101.06666666666666
05-16,5,99.81
05-16,6,110.39999999999999
05-16,7,136.39666666666668
05-16,8,150.08666666666667
05-16,9,160.85666666666665
05-16,10,135.87333333333333
05-16,11,112.14666666666666
05-16,12,95.48333333333333
05-16,13,76.96333333333332
05-16,14,73.73666666666666
05-16,15,67.23666666666666
05-16,16,66.51666666666667
05-16,17,92.24666666666667
05-16,18,123.0
05-16,19,144.31
05-16,20,156.96666666666667
05-16,21,170.32666666666665
05-16,22,159.89333333333332
05-16,23,145.4
05-16,24,121.84333333333332
05-17,1,132.76333333333332
05-17,2,124.02666666666666
05-17,3,119.32666666666667
05-17,4,112.14333333333333
05-17,5,113.90666666666665
05-17,6,124.05666666666667
05-17,7,143.84333333333333
05-17,8,159.17333333333332
05-17,9,159.12
05-17,10,144.30666666666667
05-17,11,128.84
05-17,12,99.0
05-17,13,80.49333333333334
05-17,14,75.71666666666665
05-17,15,66.60666666666667
05-17,16,76.31666666666666
05-17,17,104.28666666666668
05-17,18,134.29666666666665
05-17,19,147.8033333333333
05-17,20,169.29999999999998
05-17,21,181.04
05-17,22,165.17666666666665
05-17,23,148.82000000000002
05-17,24,125.83
05-18,1,130.24
05-18,2,115.45333333333333
05-18,3,111.72333333333331
05-18,4,106.41333333333334
05-18,5,110.52666666666666
05-18,6,114.19666666666667
05-18,7,127.71
05-18,8,135.60333333333332
05-18,9,130.02
05-18,10,110.23666666666666
05-18,11,87.08
05-18,12,79.11333333333333
05-18,13,79.16666666666667
05-18,14,73.08666666666666
05-18,15,61.85333333333333
05-18,16,72.11666666666666
05-18,17,88.21
05-18,18,114.71333333333332
05-18,19,137.95333333333335
05-18,20,168.25333333333333
05-18,21,176.64
05-18,22,158.88333333333333
05-18,23,143.58
05-18,24,126.61
05-19,1,128.29
05-19,2,119.17999999999999
05-19,3,116.72333333333334
05-19,4,112.68333333333334
05-19,5,116.04333333333334
05-19,6,121.24666666666667
05-19,7,135.14666666666668
05-19,8,142.57666666666668
05-19,9,135.06666666666666
05-19,10,109.68
05-19,11,87.78000000000002
05-19,12,64.39666666666666
05-19,13,58.68666666666667
05-19,14,52.86333333333334
05-19,15,54.71
05-19,16,66.27
05-19,17,85.16000000000001
05-19,18,103.07666666666667
05-19,19,131.12
05-19,20,155.62666666666667
05-19,21,164.7433333333333
05-19,22,157.32666666666668
05-19,23,141.73
05-19,24,127.38
05-20,1,124.19666666666666
05-20,2,113.67666666666666
05-20,3,111.89333333333333
05-20,4,108.39333333333333
05-20,5,109.23666666666668
05-20,6,118.28000000000002
05-20,7,130.48333333333332
05-20,8,140.16333333333333
05-20,9,125.58333333333333
05-20,10,98.56
05-20,11,73.15666666666667
05-20,12,67.95
05-20,13,62.25333333333334
05-20,14,60.25333333333333
05-20,15,61.660000000000004
05-20,16,63.04999999999999
05-20,17,65.39666666666666
05-20,18,120.57666666666667
05-20,19,132.29999999999998
05-20,20,138.73333333333332
05-20,21,148.43
05-20,22,138.62333333333333
05-20,23,126.83333333333333
05-20,24,106.31
05-21,1,116.56333333333333
05-21,2,83.05333333333333
05-21,3,69.21
05-21,4,66.83
05-21,5,66.57333333333334
05-21,6,72.45
05-21,7,105.83666666666666
05-21,8,107.41333333333334
05-21,9,95.92333333333333
05-21,10,73.12666666666667
05-21,11,66.2
05-21,12,45.10333333333333
05-21,13,1.7699999999999996
05-21,14,4.516666666666667
05-21,15,2.4100000000000015
05-21,16,22.560000000000002
05-21,17,63.57
05-21,18,85.93666666666667
05-21,19,111.74666666666667
05-21,20,134.16
05-21,21,139.04333333333332
05-21,22,141.65
05-21,23,138.39666666666668
05-21,24,135.22666666666666
05-22,1,126.70333333333333
05-22,2,117.56
05-22,3,108.60333333333334
05-22,4,105.26666666666667
05-22,5,107.40333333333332
05-22,6,112.57
05-22,7,120.82000000000001
05-22,8,127.04666666666667
05-22,9,121.14
05-22,10,109.05
05-22,11,96.20333333333333
05-22,12,91.07
05-22,13,61.5
05-22,14,51.96
05-22,15,54.73666666666667
05-22,16,57.31666666666666
05-22,17,72.77666666666666
05-22,18,102.54333333333334
05-22,19,125.81666666666666
05-22,20,139.56333333333333
05-22,21,160.35666666666668
05-22,22,152.68
05-22,23,141.28
