MMDD,HH,2022,2023,2024,Average
0116,22,0.0,0.0,0.0,0.0
0116,23,0.0,0.0,0.0,0.0
0116,24,0.0,0.0,0.0,0.0
0117,1,0.0,0.0,0.0,0.0
0117,2,0.0,0.0,0.0,0.0
0117,3,0.0,0.0,0.0,0.0
0117,4,0.0,0.0,0.0,0.0
0117,5,0.0,0.0,0.0,0.0
0117,6,0.0,0.0,0.0,0.0
0117,7,0.0,0.0,0.0,0.0
0117,8,1.0,1.0,0.0,0.6666666666666666
0117,9,8.0,12.0,11.0,10.333333333333334
0117,10,24.0,37.0,24.0,28.333333333333332
0117,11,29.0,54.0,37.0,40.0
0117,12,32.0,57.0,41.0,43.333333333333336
0117,13,28.0,96.0,37.0,53.666666666666664
0117,14,26.0,74.0,26.0,42.0
0117,15,24.0,42.0,14.0,26.666666666666668
0117,16,11.0,9.0,4.0,8.0
0117,17,0.0,0.0,0.0,0.0
0117,18,0.0,0.0,0.0,0.0
0117,19,0.0,0.0,0.0,0.0
0117,20,0.0,0.0,0.0,0.0
0117,21,0.0,0.0,0.0,0.0
0117,22,0.0,0.0,0.0,0.0
0117,23,0.0,0.0,0.0,0.0
0117,24,0.0,0.0,0.0,0.0
0118,1,0.0,0.0,0.0,0.0
0118,2,0.0,0.0,0.0,0.0
0118,3,0.0,0.0,0.0,0.0
0118,4,0.0,0.0,0.0,0.0
0118,5,0.0,0.0,0.0,0.0
0118,6,0.0,0.0,0.0,0.0
0118,7,0.0,0.0,0.0,0.0
0118,8,2.0,1.0,1.0,1.3333333333333333
0118,9,9.0,20.0,43.0,24.0
0118,10,18.0,59.0,78.0,51.666666666666664
0118,11,28.0,86.0,90.0,68.0
0118,12,30.0,100.0,74.0,68.0
0118,13,19.0,103.0,98.0,73.33333333333333
0118,14,20.0,56.0,79.0,51.666666666666664
0118,15,13.0,25.0,49.0,29.0
0118,16,4.0,6.0,12.0,7.333333333333333
0118,17,0.0,0.0,0.0,0.0
0118,18,0.0,0.0,0.0,0.0
0118,19,0.0,0.0,0.0,0.0
0118,20,0.0,0.0,0.0,0.0
0118,21,0.0,0.0,0.0,0.0
0118,22,0.0,0.0,0.0,0.0
0118,23,0.0,0.0,0.0,0.0
0118,24,0.0,0.0,0.0,0.0
0119,1,0.0,0.0,0.0,0.0
0119,2,0.0,0.0,0.0,0.0
0119,3,0.0,0.0,0.0,0.0
0119,4,0.0,0.0,0.0,0.0
0119,5,0.0,0.0,0.0,0.0
0119,6,0.0,0.0,0.0,0.0
0119,7,0.0,0.0,0.0,0.0
0119,8,1.0,1.0,2.0,1.3333333333333333
0119,9,3.0,15.0,25.0,14.333333333333334
0119,10,6.0,49.0,50.0,35.0
0119,11,5.0,89.0,90.0,61.333333333333336
0119,12,27.0,105.0,100.0,77.33333333333333
0119,13,25.0,86.0,95.0,68.66666666666667
0119,14,16.0,63.0,75.0,51.333333333333336
0119,15,7.0,48.0,40.0,31.666666666666668
0119,16,2.0,12.0,7.0,7.0
0119,17,0.0,0.0,0.0,0.0
0119,18,0.0,0.0,0.0,0.0
0119,19,0.0,0.0,0.0,0.0
0119,20,0.0,0.0,0.0,0.0
0119,21,0.0,0.0,0.0,0.0
0119,22,0.0,0.0,0.0,0.0
0119,23,0.0,0.0,0.0,0.0
0119,24,0.0,0.0,0.0,0.0
0120,1,0.0,0.0,0.0,0.0
0120,2,0.0,0.0,0.0,0.0
0120,3,0.0,0.0,0.0,0.0
0120,4,0.0,0.0,0.0,0.0
0120,5,0.0,0.0,0.0,0.0
0120,6,0.0,0.0,0.0,0.0
0120,7,0.0,0.0,0.0,0.0
0120,8,1.0,1.0,2.0,1.3333333333333333
0120,9,13.0,5.0,19.0,12.333333333333334
0120,10,51.0,8.0,31.0,30.0
0120,11,56.0,7.0,66.0,43.0
0120,12,77.0,20.0,81.0,59.333333333333336
0120,13,58.0,28.0,87.0,57.666666666666664
0120,14,38.0,21.0,88.0,49.0
0120,15,19.0,15.0,44.0,26.0
0120,16,8.0,5.0,8.0,7.0
0120,17,0.0,0.0,0.0,0.0
0120,18,0.0,0.0,0.0,0.0
0120,19,0.0,0.0,0.0,0.0
0120,20,0.0,0.0,0.0,0.0
0120,21,0.0,0.0,0.0,0.0
0120,22,0.0,0.0,0.0,0.0
0120,23,0.0,0.0,0.0,0.0
0120,24,0.0,0.0,0.0,0.0
0121,1,0.0,0.0,0.0,0.0
0121,2,0.0,0.0,0.0,0.0
0121,3,0.0,0.0,0.0,0.0
0121,4,0.0,0.0,0.0,0.0
0121,5,0.0,0.0,0.0,0.0
0121,6,0.0,0.0,0.0,0.0
