Day-Month,Hour,Temperature
02-07,3,2.4333333333333336
02-07,4,2.1
02-07,5,2.5
02-07,6,2.233333333333333
02-07,7,2.9333333333333336
02-07,8,3.866666666666667
02-07,9,4.866666666666666
02-07,10,5.3
02-07,11,5.766666666666667
02-07,12,6.466666666666666
02-07,13,6.566666666666666
02-07,14,6.566666666666666
02-07,15,5.9
02-07,16,4.633333333333333
02-07,17,3.0666666666666664
02-07,18,2.4
02-07,19,1.7333333333333334
02-07,20,1.2333333333333334
02-07,21,1.1
02-07,22,1.1
02-07,23,0.8666666666666666
02-08,0,1.1333333333333333
02-08,1,1.3
02-08,2,1.5333333333333332
02-08,3,1.666666666666667
02-08,4,1.5333333333333332
02-08,5,1.6666666666666667
02-08,6,2.166666666666667
02-08,7,3.466666666666667
02-08,8,4.4
02-08,9,5.233333333333333
02-08,10,6.166666666666667
02-08,11,6.833333333333333
02-08,12,6.766666666666667
02-08,13,6.833333333333333
02-08,14,6.933333333333334
02-08,15,6.566666666666666
02-08,16,5.533333333333334
02-08,17,4.466666666666667
02-08,18,4.933333333333334
02-08,19,4.9
02-08,20,4.466666666666666
02-08,21,4.0
02-08,22,4.566666666666667
02-08,23,5.766666666666667
02-09,0,5.833333333333333
02-09,1,6.0
02-09,2,5.933333333333333
02-09,3,6.0
02-09,4,5.9
02-09,5,6.2
02-09,6,6.0
02-09,7,6.233333333333334
02-09,8,6.7
02-09,9,7.366666666666667
02-09,10,8.133333333333333
02-09,11,8.433333333333332
02-09,12,8.766666666666667
02-09,13,9.133333333333333
02-09,14,8.833333333333334
02-09,15,8.666666666666666
02-09,16,8.533333333333333
02-09,17,8.333333333333334
02-09,18,7.766666666666667
02-09,19,7.2
02-09,20,7.033333333333334
02-09,21,6.1000000000000005
02-09,22,6.133333333333333
02-09,23,6.166666666666667
02-10,0,5.766666666666667
02-10,1,5.133333333333333
02-10,2,4.966666666666666
02-10,3,4.7
02-10,4,5.166666666666667
02-10,5,5.0
02-10,6,4.733333333333333
02-10,7,5.333333333333333
02-10,8,6.2
02-10,9,7.133333333333333
02-10,10,8.166666666666666
02-10,11,8.966666666666667
02-10,12,9.166666666666666
02-10,13,9.166666666666666
02-10,14,8.966666666666667
02-10,15,8.433333333333334
02-10,16,8.033333333333333
02-10,17,7.866666666666666
02-10,18,7.733333333333333
02-10,19,7.399999999999999
02-10,20,7.333333333333333
02-10,21,7.066666666666666
02-10,22,7.066666666666666
02-10,23,6.9
02-11,0,7.3
02-11,1,6.8
02-11,2,6.866666666666667
02-11,3,6.733333333333333
02-11,4,6.966666666666666
02-11,5,6.5
02-11,6,6.166666666666667
02-11,7,6.133333333333333
02-11,8,6.8
02-11,9,7.6
02-11,10,8.333333333333334
02-11,11,8.766666666666666
02-11,12,8.733333333333333
02-11,13,9.1
02-11,14,8.700000000000001
02-11,15,8.233333333333334
02-11,16,7.3
02-11,17,6.166666666666667
02-11,18,5.3
02-11,19,5.1
02-11,20,4.933333333333334
02-11,21,4.566666666666666
02-11,22,4.466666666666666
02-11,23,3.9
02-12,0,3.6
02-12,1,3.8333333333333335
02-12,2,3.8666666666666663
02-12,3,3.7
02-12,4,4.166666666666667
02-12,5,4.6000000000000005
02-12,6,4.166666666666667
02-12,7,4.333333333333333
02-12,8,5.366666666666667
02-12,9,6.233333333333333
02-12,10,7.266666666666667
02-12,11,8.0
02-12,12,8.1
02-12,13,8.233333333333333
02-12,14,8.200000000000001
02-12,15,7.533333333333334
02-12,16,6.533333333333334
02-12,17,5.866666666666667
02-12,18,5.466666666666666
02-12,19,5.366666666666667
02-12,20,4.933333333333334
02-12,21,4.533333333333333
02-12,22,4.566666666666666
02-12,23,4.5
02-13,0,4.366666666666666
02-13,1,4.466666666666666
02-13,2,4.233333333333333
02-13,3,4.1000000000000005
02-13,4,3.9
02-13,5,4.066666666666666
02-13,6,3.9666666666666655
02-13,7,4.433333333333334
02-13,8,5.433333333333334
02-13,9,6.6000000000000005
02-13,10,7.866666666666667
02-13,11,8.700000000000001
02-13,12,9.166666666666666
02-13,13,9.733333333333334
02-13,14,9.933333333333334
02-13,15,9.7
02-13,16,8.4
02-13,17,7.233333333333333
02-13,18,7.333333333333333
02-13,19,7.0
02-13,20,6.533333333333334
02-13,21,6.2
02-13,22,6.033333333333334
02-13,23,6.166666666666667
02-14,0,6.333333333333333
02-14,1,6.133333333333333
02-14,2,6.433333333333334
02-14,3,6.566666666666667
02-14,4,7.266666666666666
02-14,5,7.5
02-14,6,7.233333333333333
02-14,7,6.733333333333334
02-14,8,7.7
02-14,9,8.799999999999999
02-14,10,10.0
02-14,11,10.633333333333333
02-14,12,11.1
02-14,13,11.2
02-14,14,11.366666666666667
02-14,15,10.766666666666666
02-14,16,9.3
02-14,17,8.4
02-14,18,7.833333333333333
02-14,19,7.266666666666666
02-14,20,6.933333333333333
02-14,21,6.3
02-14,22,6.133333333333333
02-14,23,6.033333333333334
02-15,0,5.7
02-15,1,5.866666666666666
02-15,2,5.766666666666667
02-15,3,5.966666666666666
02-15,4,6.2
02-15,5,6.466666666666666
02-15,6,6.333333333333333
02-15,7,6.566666666666666
02-15,8,7.333333333333333
02-15,9,8.333333333333334
02-15,10,9.733333333333334
02-15,11,10.533333333333331
02-15,12,11.466666666666669
02-15,13,11.8
02-15,14,11.6
02-15,15,10.966666666666669
02-15,16,10.366666666666667
02-15,17,9.9
02-15,18,8.966666666666667
02-15,19,9.333333333333334
02-15,20,9.333333333333334
02-15,21,9.166666666666666
02-15,22,8.533333333333333
02-15,23,8.4
02-16,0,8.266666666666667
02-16,1,8.0
02-16,2,8.4
02-16,3,8.4
02-16,4,7.933333333333334
02-16,5,8.466666666666667
02-16,6,9.333333333333334
02-16,7,9.766666666666667
02-16,8,10.366666666666667
02-16,9,10.433333333333334
02-16,10,10.433333333333334
02-16,11,10.7
02-16,12,11.066666666666668
02-16,13,11.233333333333334
02-16,14,11.4
02-16,15,11.2
02-16,16,11.2
02-16,17,11.1
02-16,18,11.1
02-16,19,10.699999999999998
02-16,20,10.7
02-16,21,10.766666666666666
02-16,22,10.566666666666668
02-16,23,10.666666666666666
02-17,0,10.133333333333333
02-17,1,9.966666666666669
02-17,2,9.866666666666667
02-17,3,9.733333333333334
02-17,4,9.766666666666666
02-17,5,9.4
02-17,6,9.433333333333334
02-17,7,9.633333333333333
02-17,8,9.866666666666667
02-17,9,10.466666666666669
02-17,10,10.8
02-17,11,10.733333333333334
02-17,12,10.9
02-17,13,11.066666666666668
02-17,14,10.866666666666667
02-17,15,10.6
02-17,16,10.133333333333333
02-17,17,9.666666666666666
02-17,18,9.6
02-17,19,9.666666666666666
02-17,20,9.733333333333334
02-17,21,9.5
02-17,22,9.266666666666666
02-17,23,9.166666666666666
02-18,0,8.966666666666667
02-18,1,9.033333333333331
02-18,2,9.066666666666666
02-18,3,9.066666666666666
02-18,4,8.933333333333334
02-18,5,9.033333333333331
02-18,6,8.833333333333334
02-18,7,8.9
02-18,8,9.233333333333333
02-18,9,9.833333333333334
02-18,10,10.333333333333334
02-18,11,10.7
02-18,12,10.233333333333334
02-18,13,10.666666666666666
02-18,14,11.133333333333333
02-18,15,10.433333333333334
02-18,16,9.766666666666667
02-18,17,8.6
02-18,18,9.0
02-18,19,8.866666666666667
02-18,20,8.766666666666666
02-18,21,8.533333333333333
02-18,22,8.4
02-18,23,8.133333333333333
02-19,0,8.133333333333333
02-19,1,8.033333333333333
02-19,2,7.899999999999999
02-19,3,7.733333333333334
02-19,4,7.899999999999999
02-19,5,8.0
02-19,6,7.833333333333333
02-19,7,7.933333333333333
02-19,8,8.200000000000001
02-19,9,8.566666666666666
02-19,10,8.966666666666667
02-19,11,8.6
02-19,12,8.700000000000001
02-19,13,8.166666666666666
02-19,14,8.066666666666666
02-19,15,7.6
02-19,16,7.166666666666667
02-19,17,6.633333333333333
02-19,18,6.3
02-19,19,6.333333333333333
02-19,20,6.233333333333333
02-19,21,6.233333333333334
02-19,22,5.833333333333333
02-19,23,5.8
02-20,0,5.733333333333333
02-20,1,6.0
02-20,2,6.233333333333333
02-20,3,6.266666666666667
02-20,4,6.1000000000000005
02-20,5,6.4
02-20,6,6.966666666666666
02-20,7,7.966666666666666
02-20,8,8.666666666666666
02-20,9,9.3
02-20,10,9.266666666666667
02-20,11,9.7
02-20,12,10.033333333333331
02-20,13,9.7
02-20,14,9.666666666666666
02-20,15,9.766666666666667
02-20,16,9.733333333333334
02-20,17,9.666666666666666
02-20,18,9.4
02-20,19,9.4
02-20,20,9.466666666666669
02-20,21,8.200000000000001
02-20,22,8.366666666666665
02-20,23,8.299999999999999
02-21,0,7.833333333333333
02-21,1,7.833333333333333
02-21,2,7.733333333333334
02-21,3,7.633333333333333
02-21,4,7.533333333333334
02-21,5,7.433333333333334
02-21,6,7.400000000000001
02-21,7,7.633333333333333
02-21,8,7.133333333333333
02-21,9,7.400000000000001
02-21,10,8.133333333333333
02-21,11,8.5
02-21,12,8.733333333333333
02-21,13,8.9
02-21,14,8.5
02-21,15,8.299999999999999
02-21,16,8.1
02-21,17,8.1
02-21,18,8.033333333333333
02-21,19,8.0
02-21,20,7.933333333333333
02-21,21,7.866666666666667
02-21,22,7.7
02-21,23,7.399999999999999
02-22,0,7.266666666666667
02-22,1,7.0
02-22,2,6.8
02-22,3,6.633333333333333
02-22,4,6.2
02-22,5,6.066666666666666
02-22,6,6.166666666666667
02-22,7,6.566666666666666
02-22,8,7.2
02-22,9,8.1
02-22,10,8.566666666666666
02-22,11,9.2
02-22,12,9.966666666666669
02-22,13,10.433333333333334
02-22,14,10.666666666666666
02-22,15,10.466666666666669
02-22,16,10.633333333333333
02-22,17,9.166666666666666
02-22,18,8.4
02-22,19,7.599999999999999
02-22,20,7.399999999999999
02-22,21,6.9
02-22,22,6.333333333333333
02-22,23,6.7
02-23,0,6.5
02-23,1,6.466666666666666
02-23,2,6.266666666666667
02-23,3,5.866666666666667
02-23,4,5.566666666666666
02-23,5,5.766666666666667
02-23,6,5.733333333333333
02-23,7,6.3
02-23,8,7.166666666666667
02-23,9,7.566666666666666
02-23,10,8.4
02-23,11,8.6
02-23,12,9.233333333333333
02-23,13,9.533333333333331
02-23,14,9.066666666666668
02-23,15,8.5
02-23,16,8.033333333333333
02-23,17,6.900000000000001
02-23,18,6.833333333333333
02-23,19,6.433333333333334
02-23,20,5.766666666666667
02-23,21,5.066666666666666
02-23,22,4.3
02-23,23,3.8333333333333335
02-24,0,3.5666666666666664
02-24,1,3.3000000000000003
02-24,2,3.8333333333333335
02-24,3,4.033333333333333
02-24,4,4.5
02-24,5,4.766666666666667
02-24,6,5.1000000000000005
02-24,7,5.6000000000000005
02-24,8,5.9
02-24,9,6.533333333333334
02-24,10,7.066666666666666
02-24,11,7.333333333333333
02-24,12,7.266666666666667
02-24,13,5.8
02-24,14,6.133333333333333
02-24,15,6.2
02-24,16,5.5
02-24,17,4.8
02-24,18,4.266666666666667
02-24,19,4.366666666666666
02-24,20,4.833333333333333
02-24,21,4.666666666666667
02-24,22,4.733333333333333
02-24,23,4.766666666666667
02-25,0,4.4
02-25,1,4.6000000000000005
02-25,2,4.3
02-25,3,4.066666666666666
02-25,4,4.433333333333334
02-25,5,4.2
02-25,6,4.566666666666666
02-25,7,5.233333333333333
02-25,8,5.833333333333333
02-25,9,5.566666666666666
02-25,10,6.6000000000000005
02-25,11,6.966666666666666
02-25,12,7.566666666666666
02-25,13,6.533333333333334
02-25,14,7.633333333333333
02-25,15,7.1000000000000005
02-25,16,6.333333333333333
02-25,17,5.3
02-25,18,4.4
02-25,19,3.4333333333333336
02-25,20,2.4
02-25,21,2.3666666666666667
02-25,22,1.7
02-25,23,1.1666666666666667
02-26,0,2.0666666666666664
02-26,1,1.6
02-26,2,1.3
02-26,3,0.9666666666666668
02-26,4,0.7666666666666667
02-26,5,0.3333333333333335
02-26,6,0.7000000000000002
02-26,7,1.7333333333333334
02-26,8,2.9666666666666663
02-26,9,4.566666666666666
02-26,10,5.666666666666667
02-26,11,5.9
02-26,12,6.5
02-26,13,6.7
02-26,14,6.833333333333333
02-26,15,6.166666666666667
02-26,16,5.133333333333334
02-26,17,4.1000000000000005
02-26,18,3.2999999999999994
02-26,19,2.6333333333333333
02-26,20,1.9
02-26,21,2.0333333333333337
02-26,22,2.033333333333333
02-26,23,1.0333333333333334
02-27,0,0.4999999999999999
02-27,1,0.3
02-27,2,-0.1999999999999998
02-27,3,0.0666666666666665
02-27,4,-0.4999999999999998
02-27,5,-1.1666666666666667
02-27,6,-0.3666666666666667
02-27,7,2.7000000000000006
02-27,8,4.533333333333334
02-27,9,5.533333333333334
02-27,10,6.366666666666667
02-27,11,6.933333333333334
02-27,12,7.7
02-27,13,7.933333333333333
02-27,14,7.766666666666667
02-27,15,7.433333333333333
02-27,16,6.166666666666667
02-27,17,4.466666666666667
02-27,18,3.4
02-27,19,3.266666666666667
02-27,20,2.6
02-27,21,2.2666666666666666
02-27,22,1.6666666666666667
02-27,23,2.1
02-28,0,2.0
02-28,1,1.4333333333333331
02-28,2,1.1666666666666667
02-28,3,1.5666666666666669
02-28,4,1.8666666666666665
02-28,5,1.6000000000000003
02-28,6,1.7333333333333334
02-28,7,2.6333333333333333
02-28,8,3.633333333333333
02-28,9,5.366666666666667
02-28,10,6.366666666666667
02-28,11,7.333333333333333
02-28,12,8.200000000000001
02-28,13,8.066666666666666
02-28,14,8.066666666666666
02-28,15,7.866666666666667
02-28,16,7.0
02-28,17,5.933333333333333
02-28,18,5.433333333333333
02-28,19,4.133333333333333
02-28,20,2.3000000000000003
02-28,21,2.7
02-28,22,2.5
02-28,23,1.8333333333333333
02-29,0,7.0
02-29,1,7.1
02-29,2,7.4
02-29,3,6.8
02-29,4,6.7
02-29,5,6.9
02-29,6,7.4
02-29,7,7.7
02-29,8,7.9
02-29,9,7.9
02-29,10,8.2
02-29,11,8.5
02-29,12,8.6
02-29,13,8.7
02-29,14,9.0
02-29,15,8.9
02-29,16,8.7
02-29,17,8.6
02-29,18,8.7
02-29,19,8.8
02-29,20,8.6
02-29,21,8.8
02-29,22,8.5
02-29,23,8.7
03-01,0,2.2999999999999994
03-01,1,2.1
03-01,2,2.2
03-01,3,1.366666666666667
03-01,4,1.1
03-01,5,1.0000000000000002
03-01,6,1.3333333333333333
03-01,7,3.3666666666666667
